,Artists,Titles,Lyrics(BOW)
136,steppenwolf,born to be wild,"['get', 'your', 'motor', 'runnin', ""'"", 'head', 'out', 'on', 'the', 'highway', 'look', 'for', 'adventur', 'In', 'whatev', 'come', 'our', 'way', 'yeah', 'darlin', ""'"", 'gon', 'na', 'make', 'it', 'happen', 'take', 'the', 'world', 'in', 'a', 'love', 'embrac', 'fire', 'all', 'of', 'your', 'gun', 'at', 'onc', 'and', 'explod', 'into', 'space', 'I', 'like', 'smoke', 'and', 'lightnin', ""'"", 'heavi', 'metal', 'thunder', 'race', 'with', 'the', 'wind', 'and', 'the', 'feel', 'that', 'I', ""'m"", 'under', 'yeah', 'darlin', ""'"", 'gon', 'na', 'make', 'it', 'happen', 'take', 'the', 'world', 'in', 'a', 'love', 'embrac', 'fire', 'all', 'of', 'your', 'gun', 'at', 'onc', 'and', 'explod', 'into', 'space', 'like', 'a', 'true', 'natur', ""'s"", 'child', 'We', 'were', 'born', 'born', 'to', 'be', 'wild', 'We', 'can', 'climb', 'so', 'high', 'I', 'never', 'wan', 'na', 'die', 'born', 'to', 'be', 'wild', 'born', 'to', 'be', 'wild', 'get', 'your', 'motor', 'runnin', ""'"", 'head', 'out', 'on', 'the', 'highway', 'look', 'for', 'adventur', 'In', 'whatev', 'come', 'our', 'way', 'yeah', 'darlin', ""'"", 'gon', 'na', 'make', 'it', 'happen', 'take', 'the', 'world', 'in', 'a', 'love', 'embrac', 'fire', 'all', 'of', 'your', 'gun', 'at', 'onc', 'and', 'explod', 'into', 'space', 'like', 'a', 'true', 'natur', ""'s"", 'child', 'We', 'were', 'born', 'born', 'to', 'be', 'wild', 'We', 'can', 'climb', 'so', 'high', 'I', 'never', 'wan', 'na', 'die', 'born', 'to', 'be', 'wild', 'born', 'to', 'be', 'wild']"
137,the jimi hendrix experience,all along the watchower,[]
138,janis joplin,piece of my heart,"['Oh', 'come', 'on', 'come', 'on', 'come', 'on', 'come', 'on', '!', 'did', ""n't"", 'I', 'make', 'you', 'feel', 'like', 'you', 'were', 'the', 'onli', 'man', 'yeah', '!', 'did', ""n't"", 'I', 'give', 'you', 'nearli', 'everyth', 'that', 'a', 'woman', 'possibl', 'can', '?', 'honey', 'you', 'know', 'I', 'did', '!', 'and', 'each', 'time', 'I', 'tell', 'myself', 'that', 'I', 'well', 'I', 'think', 'I', ""'ve"", 'had', 'enough', 'but', 'I', ""'m"", 'gon', 'na', 'show', 'you', 'babi', 'that', 'a', 'woman', 'can', 'be', 'tough', '.', 'I', 'want', 'you', 'to', 'come', 'on', 'come', 'on', 'come', 'on', 'come', 'on', 'and', 'take', 'it', 'take', 'it', '!', 'take', 'anoth', 'littl', 'piec', 'of', 'my', 'heart', 'now', 'babi', '!', 'Oh', 'oh', 'break', 'it', '!', 'break', 'anoth', 'littl', 'bit', 'of', 'my', 'heart', 'now', 'darl', 'yeah', 'yeah', 'yeah', '.', 'Oh', 'oh', 'have', 'a', '!', 'have', 'anoth', 'littl', 'piec', 'of', 'my', 'heart', 'now', 'babi', 'you', 'know', 'you', 'got', 'it', 'if', 'it', 'make', 'you', 'feel', 'good', 'Oh', 'ye', 'inde', '.', 'you', ""'re"", 'out', 'on', 'the', 'street', 'look', 'good', 'and', 'babi', 'deep', 'down', 'in', 'your', 'heart', 'I', 'guess', 'you', 'know', 'that', 'it', 'ai', ""n't"", 'right', 'never', 'never', 'never', 'never', 'never', 'never', 'hear', 'me', 'when', 'I', 'cri', 'at', 'night', 'babe', 'I', 'cri', 'all', 'the', 'time', '!', 'and', 'each', 'time', 'I', 'tell', 'myself', 'that', 'I', 'well', 'I', 'ca', ""n't"", 'stand', 'the', 'pain', 'but', 'when', 'you', 'hold', 'me', 'in', 'your', 'arm', 'I', ""'ll"", 'sing', 'it', 'onc', 'again', '.', 'I', ""'ll"", 'say', 'come', 'on', 'come', 'on', 'come', 'on', 'come', 'on', 'and', 'take', 'it', '!', 'take', 'it', '!', 'take', 'anoth', 'littl', 'piec', 'of', 'my', 'heart', 'now', 'babi', '.', 'Oh', 'oh', 'break', 'it', '!', 'break', 'anoth', 'littl', 'bit', 'of', 'my', 'heart', 'now', 'darl', 'yeah', 'Oh', 'oh', 'have', 'a', '!', 'have', 'anoth', 'littl', 'piec', 'of', 'my', 'heart', 'now', 'babi', 'you', 'know', 'you', 'got', 'it', 'child', 'if', 'it', 'make', 'you', 'feel', 'good', '.', 'I', 'need', 'you', 'to', 'come', 'on', 'come', 'on', 'come', 'on', 'come', 'on', 'and', 'take', 'it', 'take', 'it', '!', 'take', 'anoth', 'littl', 'piec', 'of', 'my', 'heart', 'now', 'babi', '!', 'oh', 'oh', 'break', 'it', '!', 'break', 'anoth', 'littl', 'bit', 'of', 'my', 'heart', 'now', 'darl', 'yeah', ""c'mon"", 'now', '.', 'oh', 'oh', 'have', 'a', 'have', 'anoth', 'littl', 'piec', 'of', 'my', 'heart', 'now', 'babi', '.', 'you', 'know', 'you', 'got', 'it', 'whoahhhhh', '!', 'take', 'it', '!', 'take', 'it', '!', 'take', 'anoth', 'littl', 'piec', 'of', 'my', 'heart', 'now', 'babi', 'Oh', 'oh', 'break', 'it', '!', 'break', 'anoth', 'littl', 'bit', 'of', 'my', 'heart', 'now', 'darl', 'yeah', 'yeah', 'yeah', 'yeah', 'Oh', 'oh', 'have', 'a', 'have', 'anoth', 'littl', 'piec', 'of', 'my', 'heart', 'now', 'babi', 'hey', 'you', 'know', 'you', 'got', 'it', 'child', 'if', 'it', 'make', 'you', 'feel', 'good', '.']"
139,dusty springfield,son of a preacher man,"['billy-ray', 'wa', 'a', 'preacher', ""'s"", 'son', 'and', 'when', 'hi', 'daddi', 'would', 'visit', 'he', ""'d"", 'come', 'along', '.', 'when', 'they', 'gather', 'round', 'and', 'start', 'talkin', ""'"", 'that', ""'s"", 'when', 'billi', 'would', 'take', 'me', 'walkin', ""'"", 'a-through', 'the', 'backyard', 'we', ""'d"", 'go', 'walkin', ""'"", '.', 'then', 'he', ""'d"", 'look', 'into', 'my', 'eye', 'lord', 'know', 'to', 'my', 'surpris', ':', 'the', 'onli', 'one', 'who', 'could', 'ever', 'reach', 'me', 'wa', 'the', 'son', 'of', 'a', 'preacher', 'man', '.', 'the', 'onli', 'boy', 'who', 'could', 'ever', 'teach', 'me', 'wa', 'the', 'son', 'of', 'a', 'preacher', 'man', '.', 'ye', 'he', 'wa', 'he', 'wa', 'ooh', 'ye', 'he', 'wa', '.', 'be', 'good', 'is', ""n't"", 'alway', 'easi', 'No', 'matter', 'how', 'hard', 'I', 'tri', '.', 'when', 'he', 'start', 'sweet-talkin', ""'"", 'to', 'me', 'He', ""'d"", 'come', 'and', 'tell', 'me', 'everyth', 'is', 'all', 'right', 'He', ""'d"", 'kiss', 'and', 'tell', 'me', 'everyth', 'is', 'all', 'right', '.', 'can', 'I', 'get', 'away', 'again', 'tonight', '?', 'the', 'onli', 'one', 'who', 'could', 'ever', 'reach', 'me', 'wa', 'the', 'son', 'of', 'a', 'preacher', 'man', '.', 'the', 'onli', 'boy', 'who', 'could', 'ever', 'teach', 'me', 'wa', 'the', 'son', 'of', 'a', 'preacher', 'man', '.', 'ye', 'he', 'wa', 'he', 'wa', '(', 'ooh', '...', ')', 'lord', 'know', 'he', 'wa', '(', 'ye', 'he', 'wa', '.', ')', 'how', 'well', 'I', 'rememb', 'the', 'look', 'that', 'wa', 'in', 'hi', 'eye', '.', 'stealin', ""'"", 'kiss', 'from', 'me', 'on', 'the', 'sli', 'takin', ""'"", 'time', 'to', 'make', 'time', 'tellin', ""'"", 'me', 'that', 'he', ""'s"", 'all', 'mine', 'learnin', ""'"", 'from', 'each', 'other', ""'s"", 'know', 'lookin', ""'"", 'to', 'see', 'how', 'much', 'we', ""'re"", 'growin', ""'"", 'and', 'the', 'onli', 'one', 'who', 'could', 'ever', 'reach', 'me', 'wa', 'the', 'son', 'of', 'a', 'preacher', 'man', '.', 'the', 'onli', 'boy', 'who', 'could', 'ever', 'teach', 'me', 'wa', 'the', 'son', 'of', 'a', 'preacher', 'man', '.', 'ye', 'he', 'wa', 'he', 'wa', 'ooh', 'ye', 'he', 'wa', '.', 'the', 'onli', 'one', 'who', 'could', 'ever', 'reach', 'me', 'He', 'wa', 'the', 'sweet-talk', 'son', 'of', 'a', 'preacher', 'man', '.', 'the', 'onli', 'one', 'who', 'could', 'ever', 'teach', 'me', 'I', 'guess', 'it', 'wa', 'the', 'son', 'of', 'a', 'preacher', 'man', '.', 'the', 'onli', 'one', 'who', 'could', 'ever', 'move', 'me', 'sweet', 'talk', 'son', 'of', 'the', 'preacher', 'man', 'the', 'onli', 'one', 'who', 'could', 'ever', 'move', 'me', 'wa', 'the', 'son', 'of', 'the', 'preacher', 'man']"
140,duffy,mercy,"['hit', 'the', 'beat', 'and', 'take', 'it', 'to', 'the', 'vers', 'now', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'I', 'love', 'you', 'but', 'I', 'got', 'ta', 'stay', 'true', 'My', 'moral', 'got', 'me', 'on', 'my', 'knee', 'I', ""'m"", 'beg', 'pleas', 'stop', 'play', 'game', 'I', 'do', ""n't"", 'know', 'what', 'thi', 'is', 'caus', 'you', 'got', 'me', 'good', 'just', 'like', 'you', 'knew', 'you', 'would', 'I', 'do', ""n't"", 'know', 'what', 'you', 'do', 'but', 'you', 'do', 'it', 'well', 'I', ""'m"", 'under', 'your', 'spell', 'you', 'got', 'me', 'beg', 'you', 'for', 'merci', 'whi', 'wo', ""n't"", 'you', 'releas', 'me', 'you', 'got', 'me', 'beg', 'you', 'for', 'merci', 'whi', 'wo', ""n't"", 'you', 'releas', 'me', 'I', 'said', 'releas', 'me', 'now', 'you', 'think', 'that', 'I', 'will', 'be', 'someth', 'on', 'the', 'side', 'but', 'you', 'got', 'to', 'understand', 'that', 'I', 'need', 'a', 'man', 'who', 'can', 'take', 'my', 'hand', 'ye', 'I', 'do', 'I', 'do', ""n't"", 'know', 'what', 'thi', 'is', 'but', 'you', 'got', 'me', 'good', 'just', 'like', 'you', 'knew', 'you', 'would', 'I', 'do', ""n't"", 'know', 'what', 'you', 'do', 'but', 'you', 'do', 'it', 'well', 'I', ""'m"", 'under', 'your', 'spell', 'you', 'got', 'me', 'beg', 'you', 'for', 'merci', 'whi', 'wont', 'you', 'releas', 'me', 'you', 'got', 'me', 'beg', 'you', 'for', 'merci', 'whi', 'wont', 'you', 'releas', 'me', 'I', 'said', 'you', ""'d"", 'better', 'releas', 'yeah', 'yeah', 'yeah', 'I', ""'m"", 'beg', 'you', 'for', 'merci', 'ye', 'whi', 'wo', ""n't"", 'you', 'releas', 'me', 'I', ""'m"", 'beg', 'you', 'for', 'merci', 'you', 'got', 'me', 'beg', 'you', 'got', 'me', 'beg', 'you', 'got', 'me', 'beg', 'merci', 'whi', 'wo', ""n't"", 'you', 'releas', 'me', 'I', ""'m"", 'beg', 'you', 'for', 'merci', 'whi', 'wo', ""n't"", 'you', 'releas', 'me', 'you', 'got', 'me', 'beg', 'you', 'for', 'merci', 'I', ""'m"", 'beg', 'you', 'for', 'merci', 'whi', 'wo', ""n't"", 'you', 'releas', 'me', '?', 'yeah', 'yeah', 'break', 'it', 'down']"
141,miles bonny,lumberjack soul,[]
142,deluxe,tum rakak,"['somebodi', 'smart', 'onc', 'spoke', 'and', 'said', 'Do', ""n't"", 'put', 'into', 'your', 'mouth', 'what', 'you', 'pick', 'up', 'from', 'the', 'floor', 'and', 'yet', 'I', 'keep', 'stumbl', 'In', 'the', 'weirdest', 'scene', 'warn', 'sure', 'did', 'ignor', 'snif', 'the', 'carpet', 'for', 'treasur', 'lost', 'and', 'engulf', 'real', 'deep', 'leftov', 'parti', 'crumb', 'cat', 'hair', 'blueberri', 'gum', 'someday', 'the', 'worm', 'will', 'find', 'thi', 'bottom', 'itch', 'it', 'right', 'to', 'the', 'core', 'give', 'me', 'my', 'due', 'and', 'more', 'Do', 'dial', 'on', 'when', 'you', 'feel', 'we', ""'ve"", 'gone', 'beneath', 'I', ""'ll"", 'remind', 'you', 'where', 'I', ""'ve"", 'been', 'hide', 'the', 'key', 'I', 'ai', ""n't"", 'never', 'take', 'no', 'dumb', 'blind', 'chanc', 'again', 'until', 'anoth', 'curios', 'tumbl', 'in', 'I', 'ai', ""n't"", 'never', 'take', 'no', 'take', 'no', 'dumb', 'blind', 'chanc', 'again', 'till', 'anoth', 'curios', 'knock', 'me', 'in', 'the', 'chin', 'No', 'blind', 'chanc', 'again', 'nobodi', 'right', 'want', 'a', 'spank', 'In', 'public', 'for', 'all', 'to', 'know', 'how', 'close', 'they', ""'re"", 'to', 'the', 'bone', 'bluest', 'of', 'sky', 'they', 'just', 'seem', 'to', 'fall', 'whenev', 'badussi', 'pore', 'bloom', 'into', 'metaphor', 'the', 'futur', 'coast', 'more', 'than', 'what', 'left', 'Of', 'asset', 'long', 'gain', 'at', 'birth', 'like', 'theuder', 'the', 'first', 'gather', 'steam', 'it', 'seem', 'I', ""'d"", 'rather', 'mess', 'it', 'all', 'up', 'befor', 'crumbl', 'under', 'the', 'bore', 'dial', 'on', 'when', 'you', 'feel', 'we', ""'ve"", 'gone', 'beneath', 'I', ""'ll"", 'remind', 'you', 'where', 'I', ""'ve"", 'been', 'hide', 'the', 'key', 'I', 'ai', ""n't"", 'never', 'take', 'no', 'dumb', 'blind', 'chanc', 'again', 'until', 'anoth', 'curios', 'tumbl', 'in', 'I', 'ai', ""n't"", 'never', 'take', 'no', 'take', 'no', 'dumb', 'blind', 'chanc', 'again', 'till', 'anoth', 'curios', 'knock', 'me', 'in', 'the', 'chin', 'No', 'blind', 'chanc', 'again', 'No', 'blind', 'chanc', 'again', 'No', 'blind', 'chanc', 'again', 'again', 'the', 'truck', 'it', 'reek', 'My', 'butt', 'is', 'weak', 'the', 'sun', 'the', 'heat', 'Is', 'turn', 'us', 'into', 'rot', 'meat', 'Oh', 'soak', 'wet', 'seat', 'My', 'soul', 'it', 'leek', 'pleas', 'do', 'someth', 'the', 'truck', 'it', 'reek', 'My', 'butt', 'is', 'weak', 'the', 'sun', 'the', 'heat', 'Is', 'turn', 'us', 'into', 'rot', 'meat', 'Oh', 'soak', 'wet', 'seat', 'My', 'soul', 'it', 'leek', 'pleas', 'do', 'someth']"
143,deluxe,my world,"['get', 'through', 'winter', 'Is', 'take', 'forev', 'I', ""'m"", 'tri', 'to', 'figur', 'which', 'one', 'your', 'breath', 'or', 'toe', 'smell', 'yeast', 'mayb', 'it', ""'s"", 'jibber', 'mayb', 'the', 'eel', 'left', 'dream', 'on', 'my', 'tongu', 'sick', 'littl', 'bird', 'I', 'think', 'I', 'heard', 'you', 'soil', 'a', 'number', 'with', 'dark', 'pointi', 'turd', 'We', ""'re"", 'draw', 'old', 'pattern', 'in', 'chain', 'It', ""'s"", 'slice', 'the', 'butter', 'real', 'thin', 'you', 'ca', ""n't"", 'keep', 'it', 'longer', 'within', 'no', 'talk', 'to', 'me', 'walk', 'with', 'me', 'after', 'all', 'we', ""'ve"", 'been', 'through', 'thi', 'crap', 'is', ""n't"", 'new', 'monster', 'and', 'cycl', 'constantli', 'glu', 'hold', 'on', 'to', 'my', 'word', 'no', 'doubt', 'occur', 'it', ""'s"", 'needless', 'to', 'say', 'but', 'you', ""'re"", 'all', 'my', 'world', 'all', 'my', 'world', 'all', 'of', 'my', 'world', 'battl', 'a', 'thick', 'blur', 'D', '’', 'you', 'see', 'land', '?', 'No', 'sir', 'It', 'never', 'occur', 'To', 'us', 'we', ""'d"", 'stay', 'at', 'sea', 'so', 'long', 'mayb', 'it', ""'s"", 'idl', 'mayb', 'it', ""'s"", 'meant', 'to', 'blow', 'apart', 'I', 'blow', 'my', 'nose', 'and', 'check', 'from', 'real', 'close', 'qualiti', 'buggor', 'are', 'tell', 'me', 'no', 'We', ""'re"", 'draw', 'old', 'pattern', 'in', 'chain', 'It', ""'s"", 'slice', 'the', 'butter', 'real', 'thin', 'you', 'ca', ""n't"", 'keep', 'it', 'longer', 'within', 'no', 'talk', 'to', 'me', 'walk', 'with', 'me', 'after', 'all', 'we', ""'ve"", 'been', 'through', 'thi', 'crap', 'is', ""n't"", 'new', 'monster', 'and', 'cycl', 'constantli', 'glu', 'hold', 'on', 'to', 'my', 'word', 'no', 'doubt', 'occur', 'it', ""'s"", 'needless', 'to', 'say', 'but', 'you', ""'re"", 'all', 'my', 'world', 'all', 'my', 'world', 'and', 'all', 'of', 'my', 'world', 'all', 'of', 'my', 'world', 'my', 'world', 'my', 'world']"
144,deluxe,shoes,"['all', 'that', 'I', 'know', 'Is', 'I', '’', 've', 'been', 'sleep', 'for', 'a', 'thousand', 'year', 'held', 'down', 'by', 'scrupl', 'fear', 'reluct', 'eye', 'wide', 'open', 'now', 'it', 'crystal', 'clear', 'that', 'where', 'we', 'go', 'we', 'do', ""n't"", 'need', 'them', 'wast', 'of', 'a', 'brain', 'unus', 'blank', 'in', 'the', 'eye', 'dull', 'and', 'confus', 'tangl', 'pencil', ""don't"", 'and', 'doe', 'who', '’', 'd', 'give', 'a', 'buck', 'I', 'don', '’', 't', 'own', 'these', 'shoe', 'I', 'hope', 'it', ""'d"", 'fade', 'find', 'closur', 'toughen', 'up', 'not', 'grow', 'duller', 'I', 'hope', 'I', ""'d"", 'have', 'the', 'shoulder', 'but', 'I', 'just', 'seem', 'to', 'crawl', 'in', 'lower', 'buttfing', 'dunc', 'wanker', 'knobhead', 'gut', 'binger', 'duck', 'in', 'the', 'wig', 'shed', 'lost', 'caus', 'lose', 'log', 'argh', 'who', 'said', 'easi', 'peasi', 'instead', 'end', 'is', 'so', 'dead', 'mani', 'ear', 'bled', 'littl', 'voic', 'crouch', 'in', 'my', 'head', 'what', 'you', 'want', 'Ed', 'didn', '’', 't', 'you', 'get', 'fed', 'If', 'I', 'could', 'fli', 'out', 'my', 'shoe', 'wrap', 'my', 'mind', 'around', 'wrap', 'my', 'mind', '‘', 'round', 'some', 'truth', 'wrap', 'my', 'mind', 'around', 'all', 'that', 'I', 'know', 'Is', 'I', '’', 've', 'been', 'sleep', 'for', 'a', 'thousand', 'year', 'held', 'down', 'by', 'scrupl', 'fear', 'reluct', 'eye', 'wide', 'open', 'now', 'it', 'crystal', 'clear', 'that', 'where', 'we', 'go', 'we', 'do', ""n't"", 'need', 'them', 'search', 'a', 'dumb', 'excus', 'justifi', 'storm', 'to', 'sooth', 'gener', 'ID', 'issu', 'I', 'fear', 'I', 'still', 'do', ""n't"", 'fit', 'these', 'shoe', 'I', 'hope', 'it', ""'d"", 'fade', 'find', 'closur', 'toughen', 'up', 'not', 'grow', 'duller', 'I', 'hope', 'I', ""'d"", 'have', 'the', 'shoulder', 'but', 'I', 'just', 'seem', 'to', 'crawl', 'in', 'lower', 'A', 'flock', 'of', 'bird', 'fli', 'out', 'my', 'butt', 'hole', 'It', 'suddenli', 'pierc', 'my', 'skull', 'I', 'feel', 'so', 'special', 'funni', 'smart', 'whole', 'It', 'fli', 'it', 'flow', 'it', 'come', 'wont', 'go', 'right', 'through', 'my', 'skull', 'I', 'wouldn', '’', 't', 'fli', 'out', 'my', 'shoe', 'wrap', 'my', 'mind', 'around', 'wrap', 'my', 'mind', '‘', 'round', 'some', 'truth', 'wrap', 'my', 'mind', 'around', 'all', 'that', 'I', 'know', 'Is', 'I', '’', 've', 'been', 'sleep', 'for', 'a', 'thousand', 'year', 'held', 'down', 'by', 'scrupl', 'fear', 'reluct', 'eye', 'wide', 'open', 'now', 'it', 'crystal', 'clear', 'that', 'where', 'we', 'go', 'we', 'do', ""n't"", 'need', 'them']"
145,michael jackson,people make the workd go round,[]
146,andreya triana,gold,"['Oh', 'darl', 'no', 'thi', 'heart', 'is', 'free', 'A', 'brand', 'new', 'day', 'Is', 'at', 'my', 'feet', 'and', 'i', ""'m"", 'sing', 'low', 'low', 'and', 'sweet', 'give', 'more', 'soul', 'give', 'it', 'all', 'to', 'me', 'It', 'all', 'feel', 'like', 'gold', 'gold', 'to', 'me', 'might', 'not', 'be', 'diamond', 'but', 'it', 'shine', 'for', 'me', 'It', 'all', 'feel', 'like', 'gold', 'gold', 'to', 'me', 'It', 'will', 'last', 'in', 'silenc', 'it', 'all', 'good', 'to', 'me', 'sing', 'yeah', 'yeah', 'yeah', 'yeah', 'simpl', 'thing', 'that', 'light', 'me', 'up', 'what', 'a', 'beauti', 'world', 'and', 'i', 'see', 'the', 'love', 'In', 'everyth', 'and', 'everyon', 'when', 'im', 'dig', 'softli', 'ooh', 'the', 'tide', 'will', 'come', 'It', 'all', 'feel', 'like', 'gold', 'gold', 'to', 'me', 'might', 'not', 'be', 'diamond', 'but', 'it', 'shine', 'for', 'me', 'It', 'all', 'feel', 'like', 'gold', 'gold', 'to', 'me', 'It', 'will', 'last', 'in', 'silenc', 'it', 'all', 'good', 'to', 'me', 'sing', 'yeah', 'yeah', 'yeah', 'yeah', 'open', 'my', 'eye', 'I', 'see', 'there', ""'s"", 'so', 'much', 'beauti', 'there', ""'s"", 'is', 'so', 'much', 'more', 'than', 'i', 'ever', 'believ', 'high', 'touch', 'the', 'sky', 'where', 'the', 'angel', 'keep', 'fall', 'It', ""'s"", 'all', 'good', 'to', 'me', 'it', ""'s"", 'all', 'good', 'to', 'me', 'It', 'all', 'feel', 'like', 'gold', 'gold', 'to', 'me', 'might', 'not', 'be', 'diamond', 'but', 'it', 'shine', 'for', 'me', 'It', 'all', 'feel', 'like', 'gold', 'gold', 'to', 'me', 'It', 'will', 'last', 'in', 'silenc', 'it', 'all', 'good', 'to', 'me', 'sing', 'yeah', 'yeah', 'yeah', 'yeah', 'It', 'all', 'feel', 'like', 'gold', 'gold', 'to', 'me', 'might', 'not', 'be', 'diamond', 'but', 'it', 'shine', 'for', 'me', 'It', 'all', 'feel', 'like', 'gold', 'gold', 'to', 'me', 'It', 'will', 'last', 'in', 'silenc', 'it', 'all', 'good', 'to', 'me']"
147,brushy one string,chicken in the corn,[]
148,brushy one string,skin teeth,[]
149,pink floyd,welcome to machine,[]
150,pink floyd,us and them,"['Us', 'and', 'them', 'and', 'after', 'all', 'we', ""'re"", 'onli', 'ordinari', 'men', 'Me', 'and', 'you', 'god', 'onli', 'know', 'it', ""'s"", 'not', 'what', 'we', 'would', 'choos', 'to', 'do', 'forward', 'he', 'cri', 'from', 'the', 'rear', 'and', 'the', 'front', 'rank', 'die', 'and', 'the', 'gener', 'sat', 'and', 'the', 'line', 'on', 'the', 'map', 'move', 'from', 'side', 'to', 'side', 'black', 'and', 'blue', 'and', 'who', 'know', 'which', 'is', 'which', 'and', 'who', 'is', 'who', 'Up', 'and', 'down', 'and', 'in', 'the', 'end', 'it', ""'s"", 'onli', 'round', 'and', 'round', 'and', 'round', 'and', 'round', 'have', ""n't"", 'you', 'heard', 'it', ""'s"", 'a', 'battl', 'of', 'word', 'the', 'poster', 'bearer', 'cri', 'listen', 'son', 'said', 'the', 'man', 'with', 'the', 'gun', 'there', ""'s"", 'room', 'for', 'you', 'insid', '``', 'well', 'I', 'mean', 'they', ""'re"", 'gon', 'na', 'kill', 'ya', 'so', 'like', 'if', 'you', 'give', ""'em"", 'a', 'quick', 'sh', '...', 'short', 'sharp', 'shock', 'they', 'do', ""n't"", 'do', 'it', 'again', '.', 'dig', 'it', '?', 'I', 'mean', 'he', 'got', 'off', 'light', ""'caus"", 'I', 'coulda', 'given', ""'I"", ""'m"", 'a', 'thrashin', ""'"", 'but', 'I', 'onli', 'hit', 'him', 'onc', '.', 'It', ""'s"", 'onli', 'the', 'differ', 'between', 'right', 'and', 'wrong', 'innit', '?', 'I', 'mean', 'good', 'manner', 'do', ""n't"", 'cost', 'noth', 'do', 'they', 'eh', '?', ""''"", 'down', 'and', 'out', 'It', 'ca', ""n't"", 'be', 'help', 'but', 'there', ""'s"", 'a', 'lot', 'of', 'it', 'about', 'with', 'without', 'and', 'who', ""'ll"", 'deni', 'it', ""'s"", 'what', 'the', 'fight', ""'s"", 'all', 'about', 'out', 'of', 'the', 'way', 'it', ""'s"", 'a', 'busi', 'day', 'I', ""'ve"", 'got', 'thing', 'on', 'my', 'mind', 'for', 'want', 'of', 'the', 'price', 'of', 'tea', 'and', 'a', 'slice', 'the', 'old', 'man', 'die']"
151,pink floyd,brain damage,"['the', 'lunat', 'is', 'on', 'the', 'grass', 'the', 'lunat', 'is', 'on', 'the', 'grass', 'rememb', 'game', 'and', 'daisi', 'chain', 'and', 'laugh', 'got', 'to', 'keep', 'the', 'looni', 'on', 'the', 'path', 'the', 'lunat', 'is', 'in', 'the', 'hall', 'the', 'lunat', 'are', 'in', 'my', 'hall', 'the', 'paper', 'hold', 'their', 'fold', 'face', 'to', 'the', 'floor', 'and', 'everi', 'day', 'the', 'paper', 'boy', 'bring', 'more', 'and', 'if', 'the', 'dam', 'break', 'open', 'mani', 'year', 'too', 'soon', 'and', 'if', 'there', 'is', 'no', 'room', 'upon', 'the', 'hill', 'and', 'if', 'your', 'head', 'explod', 'with', 'dark', 'forebod', 'too', 'I', ""'ll"", 'see', 'you', 'on', 'the', 'dark', 'side', 'of', 'the', 'moon', 'the', 'lunat', 'is', 'in', 'my', 'head', 'the', 'lunat', 'is', 'in', 'my', 'head', 'you', 'rais', 'the', 'blade', 'you', 'make', 'the', 'chang', 'you', 're-arrang', 'me', ""'till"", 'I', ""'m"", 'sane', 'you', 'lock', 'the', 'door', 'and', 'throw', 'away', 'the', 'key', 'there', ""'s"", 'someon', 'in', 'my', 'head', 'but', 'it', ""'s"", 'not', 'me', 'and', 'if', 'the', 'cloud', 'burst', 'thunder', 'in', 'your', 'ear', 'you', 'shout', 'and', 'no', 'one', 'seem', 'to', 'hear', 'and', 'if', 'the', 'band', 'you', ""'re"", 'in', 'start', 'play', 'differ', 'tune', 'I', ""'ll"", 'see', 'you', 'on', 'the', 'dark', 'side', 'of', 'the', 'moon', '``', 'I', 'ca', ""n't"", 'think', 'of', 'anyth', 'to', 'say', 'except', '...', 'I', 'think', 'it', ""'s"", 'marvel', '!', 'Ha', 'ha', 'ha', '!', ""''""]"
152,pink floyd,have a cigar,"['come', 'in', 'here', 'dear', 'boy', 'have', 'a', 'cigar', 'you', ""'re"", 'gon', 'na', 'go', 'far', 'you', ""'re"", 'gon', 'na', 'fli', 'high', 'you', ""'re"", 'never', 'gon', 'na', 'die', 'you', ""'re"", 'gon', 'na', 'make', 'it', 'if', 'you', 'tri', 'they', ""'re"", 'gon', 'na', 'love', 'you', 'well', 'I', ""'ve"", 'alway', 'had', 'a', 'deep', 'respect', 'and', 'I', 'mean', 'that', 'most', 'sincer', 'the', 'band', 'is', 'just', 'fantast', 'that', 'is', 'realli', 'what', 'I', 'think', 'Oh', 'by', 'the', 'way', 'which', 'one', ""'s"", 'pink', '?', 'and', 'did', 'we', 'tell', 'you', 'the', 'name', 'of', 'the', 'game', 'boy', '?', 'We', 'call', 'it', 'ride', 'the', 'gravi', 'train', 'We', ""'re"", 'just', 'knock', 'out', 'We', 'heard', 'about', 'the', 'sell', 'out', 'you', 'got', 'ta', 'get', 'an', 'album', 'out', 'you', 'owe', 'it', 'to', 'the', 'peopl', 'We', ""'re"", 'so', 'happi', 'we', 'can', 'hardli', 'count', 'everybodi', 'els', 'is', 'just', 'green', 'have', 'you', 'seen', 'the', 'chart', '?', 'It', ""'s"", 'a', 'hell', 'of', 'a', 'start', 'It', 'could', 'be', 'made', 'into', 'a', 'monster', 'If', 'we', 'all', 'pull', 'togeth', 'as', 'a', 'team', 'and', 'did', 'we', 'tell', 'you', 'the', 'name', 'of', 'the', 'game', 'boy', '?', 'We', 'call', 'it', 'ride', 'the', 'gravi', 'train']"
